PCI for SMB: Requirement 10 & 11 – Regularly Monitor and Test Networks,'Our security analyst explains Payment Card Industry (PCI) Requirement 10 & 11 and gives tips on how to regularly monitor and test networks.',"['Requirement', 'PCI', 'maintain', 'data', 'access', 'systems', 'security', 'monitoring', 'logs', 'help', 'cardholder', 'The', '&', 'vulnerability', 'visibility']"
Spotlight on Women in Cybersecurity,"'On International Women’s Day, some of the Sucuri team members share their insights into being a woman who works in cyber security.'","['I', 'women', 'security', 'work', 'technology', 'future', 'The', 'Sucuri', 'tech', 'I’ve', 'like', 'I’m', 'As', 'working', 'interested']"
How to Add SSL & Move WordPress from HTTP to HTTPS,'Want to secure your WordPress site with SSL? Learn how to add an SSL certificate and move your WordPress from HTTP to HTTPS to ensure site security.',"['SSL', 'WordPress', 'website', 'HTTPS', '–', 'certificate', 'Step', 'If', 'use', 'plugin', 'Google', 'security', 'You', 'Add', 'click']"
Website Malware Removal – FTP Tips & Tricks,[<Element 'meta' content='Update 9/9/16:    We released a new guide that provides better instructions on how to clean a hacked WordPress site using the Free WordPress security plugin.    2016 Guide on How to Clean a Hacked WordPress Site        When you clean' property='og:description'>],"['I', 'If', 'time', 'this:', 'local', 'like', 'you’re', 'Filter', '–', 'sure', 'screen', 'look', 'little', 'filter', 'You']"
Website Malware – Reality of Cross-Site Contaminations,"[<Element 'meta' content=""Sometimes you can't help but put yourself in the shoes of your clients and skeptics and wonder how many times they roll their eyes at the things you say. Cross-site contamination is one of those"" property='og:description'>]","['The', 'it’s', 'payload', 'doing', 'This', 'It', '.htaccess', 'sites', 'remove', 'real', 'little', 'just', 'here:', 'We', 'JavaScript']"
"Web Server Attacks – Apache Modules, Log Management and RELM","[<Element 'meta' content=""New year, same tricks, mostly because they work. That's how we're kicking off the new year folks.   In September of 2012, Dennis, of Unmask Parasites, first wrote about rogue apache modules being injected into web"" property='og:description'>]","['modules', 'things', 'If', 'The', 'we’re', 'like', 'It', 'web', 'servers', 'open', 'it’s', 'number', 'attacks', 'In', '–']"
HideMeBetter – SPAM injection Variant,"[<Element 'meta' content='Compromised sites being injected with SPAM SEO is something we deal very often. A few months ago we wrote about a wave of SPAM injections known as HideMe.  However, the bad guys are always getting more' property='og:description'>]","['content', 'version', 'inside', 'file', 'SPAM', 'tag', 'code', '<div>', 'specific', 'remove', 'red', 'new', 'malware', 'malicious', 'know']"
Malware Hidden Inside JPG EXIF Headers,"[<Element 'meta' content=""A few days ago, Peter Gramantik from our research team found a very interesting backdoor on a compromised site. This backdoor didn't rely on the normal patterns to hide its content (like base64/gzip encoding), but"" property='og:description'>]","['preg_replace', 'The', 'execute', 'content', 'backdoor', 'used', 'read', 'headers', 'eval', 'compromised', 'This', 'EXIF', '(', 'site.', 'modifier']"
Open Source Backdoor – Copyrighted Under GNU GPL,"[<Element 'meta' property='og:description' content='Malware code can be very small, and the impact can be very severe! In our daily tasks we find a lot of web-based malware that varies in size and impact. Some of the malware is'>]","['GNU', 'Public', 'General', 'This', 'License', 'version', 'software', 'free', 'x86_64', 'Software', 'Free', '*', 'code', 'it.', 'function']"
AdSense Blackmail – Hacking Websites for Profit,"[<Element 'meta' content='We deal with different types of malware injections and compromises everyday and the most common question our clients ask us is, ""Why me? Why my small little site?""    There are so many answers to this question.' property='og:description'>]","['–', 'attacker', 'The', 'want', 'site', 'adsence', 'like', 'dnt', 'website', 'ur', 'u', 'problem', 'money', 'Your', 'In']"
